time,X (m/s),Y (m/s),Yaw (rad)
116900,-674.058000626064,932.29728037299,4.56233644033328
116910,-674.082304948936,932.132852345941,4.56272251858963
116920,-674.106545844459,931.968414498762,4.56310863050727
116930,-674.130723327526,931.803966859008,4.56349476323627
116940,-674.154837422463,931.639509455479,4.56388090130113
116950,-674.178888166496,931.475042318696,4.56426702540701
116960,-674.202875612628,931.310565481298,4.56465311135722
116970,-674.226799831912,931.146078978347,4.56503912912081
116980,-674.250660912832,930.981582847263,4.56542504298027
116990,-674.274458953502,930.817077126783,4.56581081402182
117000,-674.298194051849,930.652561855566,4.56619640334
117010,-674.321866297044,930.488037071016,4.5665817751329
117020,-674.345475762247,930.323502808297,4.56696689960228
117030,-674.369022498492,930.158959099513,4.56735175562488
117040,-674.392506529508,929.994405973034,4.56773633317035
117050,-674.415927847225,929.82984345291,4.56812063545407
117060,-674.439286407774,929.66527155836,4.56850468082203
117070,-674.462582128531,929.500690303382,4.56888850405998
117080,-674.485814893476,929.336099697384,4.5692721545877
117090,-674.50898456893,929.171499747323,4.56965569127161
117100,-674.532091019156,929.006890459905,4.57003917687399
117110,-674.555134119414,928.842271843377,4.57042267279966
117120,-674.578113766673,928.677643909004,4.5708062342306
117130,-674.601029887903,928.513006672184,4.5711899059143
117140,-674.62388244095,928.348360152629,4.57157372051643
117150,-674.646671406577,928.183704373274,4.57195769984597
117160,-674.66939677986,928.01903935907,4.57234185668536
117170,-674.692058563143,927.854365136011,4.57272619669518
117180,-674.714656760603,927.689681730386,4.57311072030132
117190,-674.737191374313,927.524989168214,4.57349542446106
117200,-674.759662402594,927.360287475002,4.57388030388145
117210,-674.782069840887,927.195576675841,4.57426535157991
117220,-674.804413683193,927.030856795585,4.57465055924131
117230,-674.826693923391,926.866127859003,4.57503591748269
117240,-674.84891055636,926.701389890921,4.57542141603297
117250,-674.87106357889,926.536642916346,4.5758070438252
117260,-674.893152991359,926.371886960668,4.57619278868703
117270,-674.915178800607,926.207122050029,4.57657863655846
117280,-674.937141022701,926.04234821169,4.57696457064779
117290,-674.959039685292,925.877565474325,4.5773505706226
117300,-674.980874829463,925.712773868255,4.57773661190555
117310,-675.002646511079,925.547973425613,4.57812266513504
117320,-675.024354798704,925.383164180118,4.5785086968539
117330,-675.045999766654,925.218346166204,4.57889467173977
